temp,hours,dates,variation,heures,jours
12.08000000000004,19892.041666666668,18/06/24 01:00:00,-0.09999999999996945,01,18/06/24
11.689999999999998,19892.083333333332,18/06/24 02:00:00,-0.3900000000000414,02,18/06/24
10.810000000000002,19892.125,18/06/24 03:00:00,-0.8799999999999955,03,18/06/24
10.700000000000044,19892.166666666668,18/06/24 04:00:00,-0.10999999999995858,04,18/06/24
10.700000000000044,19892.208333333332,18/06/24 05:00:00,0.0,05,18/06/24
10.5,19892.25,18/06/24 06:00:00,-0.2000000000000437,06,18/06/24
10.430000000000009,19892.291666666668,18/06/24 07:00:00,-0.0699999999999914,07,18/06/24
10.090000000000032,19892.333333333332,18/06/24 08:00:00,-0.33999999999997677,08,18/06/24
10.170000000000016,19892.375,18/06/24 09:00:00,0.07999999999998408,09,18/06/24
10.420000000000016,19892.416666666668,18/06/24 10:00:00,0.25,10,18/06/24
10.83000000000004,19892.458333333332,18/06/24 11:00:00,0.41000000000002323,11,18/06/24
11.189999999999998,19892.5,18/06/24 12:00:00,0.3599999999999586,12,18/06/24
11.5,19892.541666666668,18/06/24 13:00:00,0.3100000000000023,13,18/06/24
12.83000000000004,19892.583333333332,18/06/24 14:00:00,1.3300000000000392,14,18/06/24
14.180000000000009,19892.625,18/06/24 15:00:00,1.3499999999999694,15,18/06/24
14.970000000000027,19892.666666666668,18/06/24 16:00:00,0.7900000000000187,16,18/06/24
15.710000000000036,19892.708333333332,18/06/24 17:00:00,0.7400000000000091,17,18/06/24
15.810000000000002,19892.75,18/06/24 18:00:00,0.0999999999999659,18,18/06/24
16.480000000000018,19892.791666666668,18/06/24 19:00:00,0.6700000000000159,19,18/06/24
16.420000000000016,19892.833333333332,18/06/24 20:00:00,-0.060000000000002274,20,18/06/24
15.090000000000032,19892.875,18/06/24 21:00:00,-1.329999999999984,21,18/06/24
12.090000000000032,19892.916666666668,18/06/24 22:00:00,-3.0,22,18/06/24
11.710000000000036,19892.958333333332,18/06/24 23:00:00,-0.37999999999999545,23,18/06/24
11.390000000000043,19893.0,19/06/24 00:00:00,-0.3199999999999932,00,19/06/24
10.52000000000004,19893.041666666668,19/06/24 01:00:00,-0.8700000000000028,01,19/06/24
9.910000000000023,19893.083333333332,19/06/24 02:00:00,-0.6100000000000172,02,19/06/24
10.28000000000003,19893.125,19/06/24 03:00:00,0.3700000000000063,03,19/06/24
9.689999999999998,19893.166666666668,19/06/24 04:00:00,-0.5900000000000318,04,19/06/24
8.970000000000027,19893.208333333332,19/06/24 05:00:00,-0.7199999999999704,05,19/06/24
8.140000000000043,19893.25,19/06/24 06:00:00,-0.8299999999999841,06,19/06/24
7.53000000000003,19893.291666666668,19/06/24 07:00:00,-0.6100000000000136,07,19/06/24
7.1200000000000045,19893.333333333332,19/06/24 08:00:00,-0.410000000000025,08,19/06/24
8.060000000000002,19893.375,19/06/24 09:00:00,0.9399999999999977,09,19/06/24
9.850000000000025,19893.416666666668,19/06/24 10:00:00,1.7900000000000222,10,19/06/24
11.620000000000005,19893.458333333332,19/06/24 11:00:00,1.76999999999998,11,19/06/24
13.850000000000025,19893.5,19/06/24 12:00:00,2.23000000000002,12,19/06/24
15.620000000000005,19893.541666666668,19/06/24 13:00:00,1.76999999999998,13,19/06/24
16.939999999999998,19893.583333333332,19/06/24 14:00:00,1.3199999999999932,14,19/06/24
17.590000000000032,19893.625,19/06/24 15:00:00,0.6500000000000341,15,19/06/24
18.390000000000043,19893.666666666668,19/06/24 16:00:00,0.8000000000000114,16,19/06/24
18.600000000000023,19893.708333333332,19/06/24 17:00:00,0.20999999999997954,17,19/06/24
18.860000000000014,19893.75,19/06/24 18:00:00,0.2599999999999909,18,19/06/24
18.620000000000005,19893.791666666668,19/06/24 19:00:00,-0.2400000000000091,19,19/06/24
17.890000000000043,19893.833333333332,19/06/24 20:00:00,-0.7299999999999613,20,19/06/24
17.0,19893.875,19/06/24 21:00:00,-0.8900000000000432,21,19/06/24
15.980000000000018,19893.916666666668,19/06/24 22:00:00,-1.0199999999999818,22,19/06/24
15.450000000000044,19893.958333333332,19/06/24 23:00:00,-0.5299999999999745,23,19/06/24
14.660000000000023,19894.0,20/06/24 00:00:00,-0.7900000000000205,00,20/06/24
14.210000000000036,19894.041666666668,20/06/24 01:00:00,-0.44999999999998685,01,20/06/24
13.689999999999998,19894.083333333332,20/06/24 02:00:00,-0.5200000000000387,02,20/06/24
13.670000000000016,19894.125,20/06/24 03:00:00,-0.01999999999998181,03,20/06/24
13.120000000000005,19894.166666666668,20/06/24 04:00:00,-0.5500000000000114,04,20/06/24
12.840000000000032,19894.208333333332,20/06/24 05:00:00,-0.2799999999999727,05,20/06/24
12.110000000000014,19894.25,20/06/24 06:00:00,-0.7300000000000182,06,20/06/24
11.960000000000036,19894.291666666668,20/06/24 07:00:00,-0.14999999999997726,07,20/06/24
11.920000000000016,19894.333333333332,20/06/24 08:00:00,-0.040000000000020464,08,20/06/24
11.950000000000044,19894.375,20/06/24 09:00:00,0.030000000000027782,09,20/06/24
12.25,19894.416666666668,20/06/24 10:00:00,0.2999999999999563,10,20/06/24
12.420000000000016,19894.458333333332,20/06/24 11:00:00,0.17000000000001592,11,20/06/24
12.590000000000032,19894.5,20/06/24 12:00:00,0.17000000000001592,12,20/06/24
13.840000000000032,19894.541666666668,20/06/24 13:00:00,1.25,13,20/06/24
15.860000000000014,19894.583333333332,20/06/24 14:00:00,2.019999999999982,14,20/06/24
17.53000000000003,19894.625,20/06/24 15:00:00,1.670000000000016,15,20/06/24
18.25,19894.666666666668,20/06/24 16:00:00,0.7199999999999704,16,20/06/24
18.110000000000014,19894.708333333332,20/06/24 17:00:00,-0.13999999999998636,17,20/06/24
17.610000000000014,19894.75,20/06/24 18:00:00,-0.5,18,20/06/24
17.960000000000036,19894.791666666668,20/06/24 19:00:00,0.35000000000002274,19,20/06/24
17.450000000000045,19894.833333333332,20/06/24 20:00:00,-0.5099999999999909,20,20/06/24
16.960000000000036,19894.875,20/06/24 21:00:00,-0.4900000000000091,21,20/06/24
15.980000000000018,19894.916666666668,20/06/24 22:00:00,-0.9800000000000182,22,20/06/24
